"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AliExpress","Comment","DigiKey","Farnell","JLCPCB Part #","MPN","Manufacturer","Mouser"
"1","24","C1, C2, C4, C5, C6, C7, C8, C9, C10, C15, C16, C17, C23, C24, C25, C26, C27, C30, C31, C37, C38, C39, C40, C41","100n","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","50V 100nF X7R ±10% 0402","","","C307331","CL05B104KB54PNC","Samsung electro-mechanics",""
"2","9","C3, C20, C21, C22, C32, C33, C34, C35, C36","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","25V 10uF X5R ±10% 0805","","","C15850","CL21A106KAYNNNE","Samsung electro-mechanics",""
"3","4","C11, C13, C14, C18","1u","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","25V 1uF X5R ±10% 0402","","","C52923","CL05A105KA5NQNC","Samsung electro-mechanics",""
"4","2","C12, C19","10u","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","6.3V 10uF X5R ±20% 0402","","","C15525","CL05A106MQ5NUNC","Samsung Electro-Mechanics",""
"5","4","C28, C29, C42, C43","22p","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","50V 22pF C0G ±5% 0402","","","C1555","0402CG220J500NT","FH (Guangdong Fenghua Advanced Tech)",""
"6","1","D1","5V6","Tiny_Scarab:D_ZENER_1SMA4734A","Tiny_Scarab:D_SMA_1SMA4734A","","","","","3372-1SMA4734ATR-ND","","C2943833","1SMA4734A","GOODWORK","241-1SMA4734AUR1000A"
"7","1","D2","40V 350mA","Tiny_Scarab:D_SCHOTTKY_SD103AWS","Tiny_Scarab:D_SOD-323","","","","","4530-SD103AWSTR-ND","2393466","C397613","SD103AWS","AnBon Semiconductor","78-SD103AWS-E3-08"
"8","1","F1","2A","Tiny_Scarab:FUSE_MFU0603FF02000P500","Tiny_Scarab:Fuse_MFU0603FF02000P500","","","","","749-MFU0603FF02000P500TR-ND","4247180","C1972777","MFU0603FF02000P500","Vishay Intertech","594-MFU0603-FF-2.0"
"9","1","J1","USB_C_Receptable_USB2.0","Tiny_Scarab:CONN_USB_C_RECEPTABLE_USB2.0","Tiny_Scarab:USB_C_Receptable_USB-TYPE-C-018","https://datasheet.lcsc.com/lcsc/2201121330_DEALON-USB-TYPE-C-018_C2927038.pdf","","","","","","C2927038","USB-TYPE-C-018","DEALON",""
"10","2","J3, J4","CONN_PIN_HEADER_02x07","Tiny_Scarab:CONN_PIN_HEADER_02x07","Tiny_Scarab:CONN_PIN_HEADER_2x07_P2.54mm_Vertical_SMD","","","","","","","C84004","C84004","BOOMELE(Boom Precision Elec)",""
"11","2","LED1, LED5","GREEN","Tiny_Scarab:LED_GREEN_CSL0902ET","Tiny_Scarab:LED_0603_CSL0902ET","","","","","846-CSL0902ET1TR-ND","4129807","","CSL0902ET","ROHM Semicon","755-CSL0902ET1"
"12","1","LED2","RED","Tiny_Scarab:LED_RED_CSL0902UT","Tiny_Scarab:LED_0603_CSL0902UT","","","","","846-CSL0902UT1TR-ND","3954422","","CSL0902UT","ROHM Semicon","755-CSL0902UT1"
"13","2","LED3, LED4","BLUE","Tiny_Scarab:LED_BLUE_CSL0902BT","Tiny_Scarab:LED_0603_CSL0902BT","","","","","846-CSL0902BT1TR-ND","3954417","","CSL0902BT","ROHM Semicon","755-CSL0902BT1"
"14","3","Q1, Q2, Q6","DMG1012UW-7","Tiny_Scarab:NMOS_DMG1012UW-7","Tiny_Scarab:SOT-323_SC-70","","","","","DMG1012UW-7DITR-ND","3127309","C156390","DMG1012UW-7","Diodes Incorporated","621-DMG1012UW-7"
"15","3","Q3, Q4, Q5","DMP1045U-7","Tiny_Scarab:PMOS_DMP1045U-7","Tiny_Scarab:SOT-23_DMP1045U-7","","","","","DMP1045U-7DITR-ND","3127351","C177033","DMP1045U-7","Diodes Incorporated","621-DMP1045U-7"
"16","1","R1","100","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25076","0402WGF1000TCE","UNI-ROYAL(Uniroyal Elec)",""
"17","1","R2","200","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25087","0402WGF2000TCE","UNI-ROYAL(Uniroyal Elec)",""
"18","4","R3, R8, R10, R28","220","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25091","0402WGF2200TCE","UNI-ROYAL(Uniroyal Elec)",""
"19","5","R4, R13, R17, R27, R29","1k","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C11702","0402WGF1001TCE","UNI-ROYAL(Uniroyal Elec)",""
"20","2","R5, R6","5k1","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25905","0402WGF5101TCE","UNI-ROYAL(Uniroyal Elec)",""
"21","4","R14, R23, R24, R30","100k","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25741","0402WGF1003TCE","UNI-ROYAL(Uniroyal Elec)",""
"22","2","R15, R16","22","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25092","0402WGF220JTCE","UNI-ROYAL(Uniroyal Elec)",""
"23","3","R18, R19, R26","10k","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25744","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)",""
"24","3","R20, R21, R22","0","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C17168","0402WGF0000TCE","UNI-ROYAL(Uniroyal Elec)",""
"25","1","R25","470","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","C25117","0402WGF4700TCE","UNI-ROYAL(Uniroyal Elec)",""
"26","4","SW1, SW2, SW3, SW5","12V 50mA","Tiny_Scarab:SW_K2-1109SP-I4SA-04","Tiny_Scarab:SW_Tactile_SPST_NO_Straight_Korean-Hroparts_K2-1109SP-I4SA-04","","","","","","","C146695","K2-1109SP-I4SA-04","Korean Hroparts Elec",""
"27","1","SW4","12V 50mA","Tiny_Scarab:SW_SS-3235D-03-L3","Tiny_Scarab:SW_Slide_SPDT_XKB-Connectivity_SS-3235D-03-L3","","","","","","","C2884764","SS-3235D-03-L3","XKB Connectivity",""
"28","2","TVS1, TVS2","5V","Tiny_Scarab:TVS_CDSOD323-T05LC","Tiny_Scarab:D_SOD-323_CDSOD323-T05LC","https://www.bourns.com/docs/Product-Datasheets/CDSOD323-TxxLC.pdf","","","","CDSOD323-T05LCTR-ND","1824861","C840637","CDSOD323-T05LC","Bourns","652-CDSOD323-T05LC"
"29","1","TVS3","5V","Tiny_Scarab:TVS_SMAJ5.0A","Tiny_Scarab:D_SMA_SMAJ5.0A","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","SMAJ5.0ALFTR-ND","1827607","C83329","SMAJ5.0A","Littelfuse Inc.","576-SMAJ5.0A"
"30","32","TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10, TVS11, TVS12, TVS13, TVS14, TVS15, TVS16, TVS17, TVS18, TVS19, TVS20, TVS21, TVS22, TVS23, TVS24, TVS25, TVS26, TVS27, TVS28, TVS29, TVS30, TVS31, TVS32, TVS33, TVS34, TVS35","5V","Tiny_Scarab:TVS_SP1007-01ETG","Tiny_Scarab:D_SOD-882_SP1007-01ETG","","","","","F6187TR-ND","2777317","C126836","SP1007-01ETG","Littelfuse","576-SP1007-01ETG"
"31","1","U1","AP2141WG-7","Tiny_Scarab:IC_AP2141WG-7","Tiny_Scarab:SOT-23-5","","","","","AP2141WGDITR-ND","3482799","C500761","AP2141WG-7","Diodes Incorporated","621-AP2141WG-7"
"32","1","U2","3V3","Tiny_Scarab:IC_MCP1825ST-3302E-DB","Tiny_Scarab:SOT-223-3_TabPin2","http://ww1.microchip.com/downloads/en/devicedoc/22056b.pdf","","","","MCP1825ST-3302E/DBTR-ND","2857611","C145411","MCP1825ST-3302E/DB","Microchip Technology","579-MCP1825ST3302EDB"
"33","1","U3","CH32V305FBP6","Tiny_Scarab:IC_CH32V305FBP6","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","","1005004329064488","","","","C5123443","CH32V305FBP6","WCH",""
"34","1","U4","CH32V003F4P6","Tiny_Scarab:IC_CH32V003F4P6","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","","1005005036714708","","","","C5187096","CH32V003F4P6","WCH",""
"35","1","XTAL1","12MHz","Tiny_Scarab:XTAL_SX5B12.000F2020F30","Tiny_Scarab:CRYSTAL-SMD5032-4P","","","","","","","C2901629","SX5B12.000F2020F30","Shenzhen SCTF Elec",""
"36","1","XTAL2","24MHz","Tiny_Scarab:XTAL_M24000J054","Tiny_Scarab:CRYSTAL-SMD3225-4P","","","","","","","C279615","M24000J054","ECEC(ZheJiang E ast Crystal Elec)",""
